Date,date,spy_price,spy_return,vix,prob,actual_crash,signal,stock_balance,has_active_option,option_start_idx,option_expiry_idx,strike_price,option_price,option_cost,option_exist_dollar_return,option_balance,cash_balance,exit_type,strategy_balance,strategy_return,cum_strategy_dollar_return,cum_strategy_return,benchmark_balance,cum_benchmark_dollar_return,cum_benchmark_return,benchmark_return,strategy_peak,benchmark_peak,strategy_drawdown,benchmark_drawdown
2024-09-05,2024-09-05,544.45,-0.0024368793286670964,19.9,0.02964432284541724,0.0,0,544.45,False,-1,-1,,,,,0.0,14.116494992272294,,558.5664949922723,-0.002375439053281192,89.32649499227227,0.19036419527805018,544.45,75.21000000000004,0.1602804534992755,-0.0024368793286670964,0.22007180758731634,0.1924814593811268,-0.0243490687388415,-0.02700335978268622
2024-09-06,2024-09-06,535.29,-0.01682431811920304,22.38,0.04783070347447957,0.0,0,535.29,False,-1,-1,,,,,0.0,14.116494992272294,,549.4064949922722,-0.016399121827253227,80.16649499227219,0.17084326782088524,535.29,66.04999999999995,0.14075952604211056,-0.01682431811920304,0.22007180758731634,0.1924814593811268,-0.040348887221466255,-0.04337336478661802
2024-09-09,2024-09-09,541.28,0.01119019596854054,19.45,0.019559322033898305,0.0,0,541.28,False,-1,-1,,,,,0.0,14.116494992272294,,555.3964949922722,0.010902674166755721,86.1564949922722,0.18360859047027575,541.28,72.03999999999996,0.15352484869150107,0.01119019596854054,0.22007180758731634,0.1924814593811268,-0.02988612382507744,-0.032668525269854844
2024-09-10,2024-09-10,543.64,0.00436003547147501,19.08,0.06676582186009394,0.0,0,543.64,False,-1,-1,,,,,0.0,14.116494992272294,,557.7564949922723,0.004249216589011784,88.51649499227233,0.18863799972779885,543.64,74.39999999999998,0.1585542579490239,0.00436003547147501,0.22007180758731634,0.1924814593811268,-0.025763899849204477,-0.02845092572735715
2024-09-11,2024-09-11,549.22,0.010264145390331825,17.69,0.13437027147831124,0.0,0,549.22,False,-1,-1,,,,,0.0,14.116494992272294,,563.3364949922723,0.01000436579421149,94.09649499227226,0.20052956907397548,549.22,79.98000000000002,0.17044582729520077,0.010264145390331825,0.22007180758731634,0.1924814593811268,-0.016017285533369962,-0.018478804775180366
2024-09-12,2024-09-12,553.84,0.008411929645679272,17.07,0.16192844434878148,0.0,0,553.84,False,-1,-1,,,,,0.0,14.116494992272294,,567.9564949922724,0.00820113740378825,98.71649499227237,0.2103752770272619,553.84,84.60000000000002,0.18029153524848696,0.008411929645679272,0.22007180758731634,0.1924814593811268,-0.00794750808907656,-0.010222317535206084
2024-09-13,2024-09-13,556.74,0.005236169290769865,16.56,0.06765347318173548,0.0,0,556.74,False,-1,-1,,,,,0.0,14.116494992272294,,570.8564949922722,0.005106024890232597,101.61649499227224,0.2165554833182854,556.74,87.5,0.18647174153951068,0.005236169290769865,0.22007180758731634,0.1924814593811268,-0.0028820633729620053,-0.0050396740295945795
2024-09-16,2024-09-16,557.56,0.0014728598627724576,17.14,0.02,0.0,0,557.56,False,-1,-1,,,,,0.0,14.116494992272294,,571.6764949922722,0.0014364380666476162,102.43649499227217,0.21830298992471267,557.56,88.31999999999994,0.18821924814593796,0.0014728598627724576,0.22007180758731634,0.1924814593811268,-0.0014497652118537984,-0.0035742369004217707
2024-09-17,2024-09-17,557.79,0.0004125116579380972,17.61,0.02901815701909966,0.0,0,557.79,False,-1,-1,,,,,0.0,14.116494992272294,,571.9064949922722,0.0004023254445735258,102.66649499227219,0.2187931442167594,557.79,88.54999999999995,0.18870940243798473,0.0004125116579380972,0.22007180758731634,0.1924814593811268,-0.0010480230447136385,-0.0031631996568732227
2024-09-18,2024-09-18,556.13,-0.002976030405708152,18.23,0.03901815701909966,0.0,0,556.13,False,-1,-1,,,,,0.0,14.116494992272294,,570.2464949922723,-0.0029025723864567476,101.00649499227234,0.215255508891553,556.13,86.88999999999999,0.18517176711277808,-0.002976030405708152,0.22007180758731634,0.1924814593811268,-0.003947553468420462,-0.006129816284223228
2024-09-19,2024-09-19,565.62,0.017064355456458014,16.33,0.05,0.0,0,565.62,False,-1,-1,,,,,0.0,14.116494992272294,,579.7364949922724,0.016641926050117384,110.49649499227235,0.23547970120252396,565.62,96.38,0.20539595942374902,0.017064355456458014,0.23547970120252396,0.20539595942374902,0.0,0.0
2024-09-20,2024-09-20,564.65,-0.0017149322866942818,16.15,0.05981338901213624,0.0,0,564.65,False,-1,-1,,,,,0.0,14.116494992272294,,578.7664949922723,-0.00167317394778288,109.52649499227232,0.23341252875345733,564.65,95.40999999999997,0.2033287869746824,-0.0017149322866942818,0.23547970120252396,0.20539595942374902,-0.0016731739477828663,-0.0017149322866942863
2024-09-23,2024-09-23,566.06,0.002497122111042138,15.89,0.02981338901213624,0.0,0,566.06,False,-1,-1,,,,,0.0,14.116494992272294,,580.1764949922722,0.0024362156624471165,110.93649499227217,0.23641738767426512,566.06,96.81999999999994,0.20633364589549044,0.002497122111042138,0.23641738767426512,0.20633364589549044,0.0,0.0
2024-09-24,2024-09-24,567.68,0.0028618874324277677,15.39,0.02981338901213624,0.0,0,567.68,False,-1,-1,,,,,0.0,14.116494992272294,,581.7964949922723,0.002792253760679708,112.55649499227229,0.23986977877476834,567.68,98.43999999999994,0.20978603699599338,0.0028618874324277677,0.23986977877476834,0.20978603699599338,0.0,0.0
2024-09-25,2024-09-25,566.42,-0.002219560315670832,15.41,0.01,0.0,0,566.42,False,-1,-1,,,,,0.0,14.116494992272294,,580.5364949922723,-0.0021657057250177303,111.2964949922723,0.2371845856965994,566.42,97.17999999999995,0.20710084391782446,-0.002219560315670832,0.23986977877476834,0.20978603699599338,-0.002165705725017701,-0.002219560315670771
2024-09-26,2024-09-26,568.67,0.003972317361675026,15.37,0.01,0.0,0,568.67,False,-1,-1,,,,,0.0,14.116494992272294,,582.7864949922723,0.0038757253323582486,113.5464949922723,0.2419795733361868,568.67,99.42999999999995,0.21189583155741187,0.003972317361675026,0.2419795733361868,0.21189583155741187,0.0,0.0
2024-09-27,2024-09-27,567.84,-0.0014595459581127068,16.96,0.02,0.0,0,567.84,False,-1,-1,,,,,0.0,14.116494992272294,,581.9564949922724,-0.0014241922335741508,112.71649499227237,0.2402107556735836,567.84,98.60000000000002,0.21012701389480867,-0.0014595459581127068,0.2419795733361868,0.21189583155741187,-0.0014241922335742037,-0.001459545958112659
2024-09-30,2024-09-30,570.12,0.0040152155536770096,16.73,0.029633615167819625,0.0,0,570.12,False,-1,-1,,,,,0.0,14.116494992272294,,584.2364949922724,0.003917818633556447,114.99649499227235,0.2450696764816988,570.12,100.88,0.21498593470292388,0.0040152155536770096,0.2450696764816988,0.21498593470292388,0.0,0.0
2024-10-01,2024-10-01,565.01,-0.008963025328001195,19.26,0.03,0.0,0,565.01,False,-1,-1,,,,,0.0,14.116494992272294,,579.1264949922722,-0.0087464580590223,109.88649499227222,0.2341797267757911,565.01,95.76999999999998,0.20409598499701642,-0.008963025328001195,0.2450696764816988,0.21498593470292388,-0.008746458059022348,-0.008963025328001147
2024-10-02,2024-10-02,565.25,0.0004247712429867878,18.9,0.02,0.0,0,565.25,False,-1,-1,,,,,0.0,14.116494992272294,,579.3664949922722,0.00041441723367063865,110.12649499227223,0.2346911921240138,565.25,96.00999999999999,0.20460745034523908,0.0004247712429867878,0.2450696764816988,0.21498593470292388,-0.008335665508305041,-0.00854206132042379
2024-10-03,2024-10-03,564.22,-0.0018222025652365748,20.49,0.04887490165224233,0.0,0,564.22,False,-1,-1,,,,,0.0,14.116494992272294,,578.3364949922723,-0.0017778038752719327,109.09649499227226,0.2324961533378916,564.22,94.98000000000002,0.2024124115591169,-0.0018222025652365748,0.2450696764816988,0.21498593470292388,-0.010098650205133348,-0.010348698519609876
2024-10-04,2024-10-04,569.35,0.009092198078763492,19.21,0.03843546744493246,0.0,0,569.35,False,-1,-1,,,,,0.0,14.116494992272294,,583.4664949922724,0.008870268510495105,114.22649499227236,0.24342872515615113,569.35,100.11000000000001,0.2133449833773762,0.009092198078763492,0.2450696764816988,0.21498593470292388,-0.0013179594335512627,-0.001350592857643988
2024-10-07,2024-10-07,564.2,-0.00904540265214715,22.64,0.02887490165224233,0.0,0,564.2,False,-1,-1,,,,,0.0,14.116494992272294,,578.3164949922723,-0.00882655652758313,109.07649499227227,0.23245353122553974,564.2,94.96000000000004,0.20236978944676506,-0.00904540265214715,0.2450696764816988,0.21498593470292388,-0.010132882917693084,-0.010383778853574617
2024-10-08,2024-10-08,569.53,0.00944700460829484,21.42,0.05,0.0,0,569.53,False,-1,-1,,,,,0.0,14.116494992272294,,583.6464949922722,0.009216406666856525,114.4064949922722,0.2438123241673178,569.53,100.28999999999996,0.2137285823885431,0.00944700460829484,0.2450696764816988,0.21498593470292388,-0.0010098650205135665,-0.001034869851961063
2024-10-09,2024-10-09,573.48,0.006935543342756478,20.86,0.058679593721144965,0.0,0,573.48,False,-1,-1,,,,,0.0,14.116494992272294,,587.5964949922723,0.006767795290284928,118.35649499227225,0.2522301913568158,573.48,104.24000000000001,0.2221464495780411,0.006935543342756478,0.2522301913568158,0.2221464495780411,0.0,0.0
2024-10-10,2024-10-10,572.48,-0.0017437399734951953,20.93,0.07843546744493246,0.0,0,572.48,False,-1,-1,,,,,0.0,14.116494992272294,,586.5964949922723,-0.0017018481364718951,117.35649499227225,0.2500990857392214,572.48,103.24000000000001,0.2200153439604467,-0.0017437399734951953,0.2522301913568158,0.2221464495780411,-0.0017018481364718513,-0.0017437399734951573
2024-10-11,2024-10-11,575.9,0.005974007825600758,20.46,0.08843546744493246,0.0,0,575.9,False,-1,-1,,,,,0.0,14.116494992272294,,590.0164949922723,0.005830242814603093,120.77649499227232,0.2573874669513944,575.9,106.65999999999997,0.2273037251726195,0.005974007825600758,0.2573874669513944,0.2273037251726195,0.0,0.0
2024-10-14,2024-10-14,580.61,0.008178503212363353,19.7,0.07,0.0,0,580.61,False,-1,-1,,,,,0.0,14.116494992272294,,594.7264949922724,0.007982827666642933,125.48649499227236,0.26742497441026414,580.61,111.37,0.23734123263148924,0.008178503212363353,0.26742497441026414,0.23734123263148924,0.0,0.0
2024-10-15,2024-10-15,576.1,-0.007767692599162879,20.64,0.08717003388103171,0.0,0,576.1,False,-1,-1,,,,,0.0,14.116494992272294,,590.2164949922724,-0.0075833177737585356,120.97649499227236,0.2578136880749134,576.1,106.86000000000001,0.22772994629613846,-0.007767692599162879,0.26742497441026414,0.23734123263148924,-0.007583317773758481,-0.007767692599162943
2024-10-16,2024-10-16,578.61,0.0043568824856794475,19.58,0.07,0.0,0,578.61,False,-1,-1,,,,,0.0,14.116494992272294,,592.7264949922724,0.004252676808080169,123.48649499227236,0.26316276317507536,578.61,109.37,0.2330790213963004,0.0043568824856794475,0.26742497441026414,0.23734123263148924,-0.0033628903653030746,-0.003444653037322826
2024-10-17,2024-10-17,578.66,8.641399215347789e-05,19.11,0.1,0.0,0,578.66,False,-1,-1,,,,,0.0,14.116494992272294,,592.7764949922723,8.435593890676607e-05,123.53649499227231,0.26326931845595497,578.66,109.41999999999996,0.23318557667718004,8.641399215347789e-05,0.26742497441026414,0.23734123263148924,-0.0032788181061705877,-0.003358536711389826
2024-10-18,2024-10-18,580.88,0.0038364497286835775,18.03,0.03,0.0,0,580.88,False,-1,-1,,,,,0.0,14.116494992272294,,594.9964949922723,0.0037450877670663907,125.75649499227234,0.2680003729270146,580.88,111.63999999999999,0.23791663114823966,0.0038364497286835775,0.2680003729270146,0.23791663114823966,0.0,0.0
2024-10-21,2024-10-21,579.93,-0.001635449662581001,18.37,0.02,0.0,0,579.93,False,-1,-1,,,,,0.0,14.116494992272294,,594.0464949922723,-0.0015966480609476141,124.80649499227229,0.26597582259029984,579.93,110.68999999999994,0.23589208081152488,-0.001635449662581001,0.2680003729270146,0.23791663114823966,-0.0015966480609476232,-0.0016354496625809872
2024-10-22,2024-10-22,579.62,-0.0005345472729466616,18.2,0.029412550066755673,0.0,0,579.62,False,-1,-1,,,,,0.0,14.116494992272294,,593.7364949922724,-0.0005218446748077588,124.49649499227235,0.2653151798488457,579.62,110.38,0.23523143807007074,-0.0005345472729466616,0.2680003729270146,0.23791663114823966,-0.00211765953346727,-0.0021691227103704433
2024-10-23,2024-10-23,574.32,-0.009143921879852246,19.24,0.048734566436099254,0.0,0,574.32,False,-1,-1,,,,,0.0,14.116494992272294,,588.4364949922724,-0.008926518825609575,119.19649499227239,0.2540203200755954,574.32,105.08000000000004,0.22393657829682048,-0.009143921879852246,0.2680003729270146,0.23791663114823966,-0.01102527503138512,-0.011293210301611237
2024-10-24,2024-10-24,575.57,0.0021764869759020034,19.08,0.03,0.0,0,575.57,False,-1,-1,,,,,0.0,14.116494992272294,,589.6864949922724,0.0021242734103641414,120.44649499227239,0.2566842020975884,575.57,106.33000000000004,0.22660046031881348,0.0021764869759020034,0.2680003729270146,0.23791663114823966,-0.008924422319612015,-0.00914130285084689
